PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Embarked_Q,Embarked_S
1,0,3,0,22.0,1,0,7.25,2,0,3.625,False,True
2,1,1,1,38.0,1,0,71.2833,2,0,35.64165,False,False
3,1,3,1,26.0,0,0,7.925,1,1,7.925,False,True
4,1,1,1,35.0,1,0,53.1,2,0,26.55,False,True
5,0,3,0,35.0,0,0,8.05,1,1,8.05,False,True
6,0,3,0,28.0,0,0,8.4583,1,1,8.4583,True,False
7,0,1,0,54.0,0,0,51.8625,1,1,51.8625,False,True
8,0,3,0,2.0,3,1,21.075,5,0,4.215,False,True
9,1,3,1,27.0,0,2,11.1333,3,0,3.7111,False,True
10,1,2,1,14.0,1,0,30.0708,2,0,15.0354,False,False
11,1,3,1,4.0,1,1,16.7,3,0,5.566666666666666,False,True
12,1,1,1,58.0,0,0,26.55,1,1,26.55,False,True
13,0,3,0,20.0,0,0,8.05,1,1,8.05,False,True
14,0,3,0,39.0,1,5,31.275,7,0,4.4678571428571425,False,True
15,0,3,1,14.0,0,0,7.8542,1,1,7.8542,False,True
16,1,2,1,55.0,0,0,16.0,1,1,16.0,False,True
17,0,3,0,2.0,4,1,29.125,6,0,4.854166666666667,True,False
18,1,2,0,28.0,0,0,13.0,1,1,13.0,False,True
19,0,3,1,31.0,1,0,18.0,2,0,9.0,False,True
20,1,3,1,28.0,0,0,7.225,1,1,7.225,False,False
21,0,2,0,35.0,0,0,26.0,1,1,26.0,False,True
22,1,2,0,34.0,0,0,13.0,1,1,13.0,False,True
23,1,3,1,15.0,0,0,8.0292,1,1,8.0292,True,False
24,1,1,0,28.0,0,0,35.5,1,1,35.5,False,True
25,0,3,1,8.0,3,1,21.075,5,0,4.215,False,True
26,1,3,1,38.0,1,5,31.3875,7,0,4.483928571428572,False,True
27,0,3,0,28.0,0,0,7.225,1,1,7.225,False,False
28,0,1,0,19.0,3,2,263.0,6,0,43.833333333333336,False,True
29,1,3,1,28.0,0,0,7.8792,1,1,7.8792,True,False
30,0,3,0,28.0,0,0,7.8958,1,1,7.8958,False,True
31,0,1,0,40.0,0,0,27.7208,1,1,27.7208,False,False
32,1,1,1,28.0,1,0,146.5208,2,0,73.2604,False,False
33,1,3,1,28.0,0,0,7.75,1,1,7.75,True,False
34,0,2,0,66.0,0,0,10.5,1,1,10.5,False,True
35,0,1,0,28.0,1,0,82.1708,2,0,41.0854,False,False
36,0,1,0,42.0,1,0,52.0,2,0,26.0,False,True
37,1,3,0,28.0,0,0,7.2292,1,1,7.2292,False,False
38,0,3,0,21.0,0,0,8.05,1,1,8.05,False,True
39,0,3,1,18.0,2,0,18.0,3,0,6.0,False,True
40,1,3,1,14.0,1,0,11.2417,2,0,5.62085,False,False
41,0,3,1,40.0,1,0,9.475,2,0,4.7375,False,True
42,0,2,1,27.0,1,0,21.0,2,0,10.5,False,True
43,0,3,0,28.0,0,0,7.8958,1,1,7.8958,False,False
44,1,2,1,3.0,1,2,41.5792,4,0,10.3948,False,False
45,1,3,1,19.0,0,0,7.8792,1,1,7.8792,True,False
46,0,3,0,28.0,0,0,8.05,1,1,8.05,False,True
47,0,3,0,28.0,1,0,15.5,2,0,7.75,True,False
48,1,3,1,28.0,0,0,7.75,1,1,7.75,True,False
49,0,3,0,28.0,2,0,21.6792,3,0,7.226400000000001,False,False
50,0,3,1,18.0,1,0,17.8,2,0,8.9,False,True
